Year,SeniorFlow,First,MaxWind,MinTemperature,CompletionRate
1970,64.9,19.2,,,44.7
1971,61.4,19.4,,,50.8
1972,72.2,19.1,,,70.8
1973,11.2,18.6,21.9,2,60
1974,48.6,19.7,25.9,7,55.7
1975,205,17.8,22.2,-1,70.1
1976,8.22,19.8,35.2,5,57.8
1977,80,16.9,23.7,-1,67.5
1978,90.5,16.8,40.7,1,75.9
1979,187,15.6,23.7,8,77.8
1980,158,16.3,22.2,1,73.2
1981,70.2,17.4,31.3,3,78.7
1982,116,16.1,31.3,6,70
1983,74.8,19.9,40.7,2,49.4
1984,28.1,17.4,20.6,6,74.5
1985,77.9,17.1,22.2,7,69
1986,89.3,16.7,37,2,73.3
1987,79.9,16.1,18.3,5,76.3
1988,87.8,17.1,25.9,6,74.9
1989,99.1,15.7,46.5,2,73.3
1990,48.2,17.8,25.9,0,69
1991,35.1,18.3,20.6,0,66.3
1992,72.1,17.3,25.9,9,79.9
1993,114,16,16.5,4,71.2
1994,155,15.7,38.9,3,76.2
1995,49.9,17.4,13,4,80
1996,41.6,18,20.6,1,64.8
1997,8.12,18.1,31.3,2,73.1
1998,181,15.6,18.3,5,
1999,58.1,17.9,20.6,6,
2000,229,15.25,35.2,6,
2001,158,,,,
2002,68.2,16.9,22.2,7,74.6
2003,34.1,18.6,27.8,5,54.2
2004,36.4,18.6,18.3,3,74.7
2005,22.9,17,18.3,8,77.2
2006,40.1,18.3,20.6,7,73.5
2007,58.6,17.1,14.8,4,73.9
2008,124,17.5,37,-2,47.2
2009,51,17.25,9.4,9,76.3
2010,178,16.3,25.9,6,65.6
2011,23,18.1,24.1,10,73.5
2012,10,17.95,14.8,7,71.8
2013,121,16.75,18.3,-2,62.5
2014,59,17.38,24.1,5.8,72.6
2015,53.5,16.66,11.1,5.7,72
2016,86,17.17,42.4,5,74.3
2017,20,17.45,25.9,5.5,75.8
2018,211,,,,
